#time,accel_x,accel_y,accel_z
300.233797,3108.864956,6809.894666,-75230.577904
300.236348,-6217.729913,8438.347739,-76762.768900
300.238899,-3997.112087,6957.935855,-77069.207099
300.241450,6217.729913,14656.077652,-75843.454302
300.244001,5181.441594,13027.624579,-75383.797003
300.246552,-6069.688724,7402.059420,-76303.111601
300.249103,2072.576638,8142.265362,-76456.330700
300.251654,-444.123565,12435.459826,-73545.167808
300.254205,-8142.265362,17172.777854,-74617.701505
300.256756,11251.130318,18505.148550,-78141.740796
300.259307,-3849.070898,17468.860231,-75383.797003
300.261858,-3404.947333,12583.501014,-72779.072310
300.264409,-3108.864956,13027.624579,-75230.577904
300.266960,-296.082377,3701.029710,-78754.617194
300.269511,14211.954086,2072.576638,-79061.055394
300.272062,2960.823768,17912.983796,-74158.044206
300.274613,-30792.567187,8882.471304,-72625.853210
300.277164,22206.178260,10807.006753,-77528.864398
300.279715,6957.935855,8142.265362,-77222.426198
300.282266,-14211.954086,15692.365970,-72166.195912
300.284817,16728.654289,13175.665768,-75843.454302
300.287368,-1776.494261,-2516.700203,-80133.589091
300.289918,-27979.784608,9178.553681,-74158.044206
300.292469,9030.512492,-7846.182985,-78907.836294
300.295020,21317.931130,-4589.276840,-77222.426198
300.297571,9030.512492,8438.347739,-77222.426198
300.300122,-22650.301825,10807.006753,-73698.386908
300.302673,-3404.947333,3849.070898,-76609.549800
300.305224,12435.459826,15988.448347,-75537.016103
300.307775,-19837.519246,11547.212695,-73085.510509
300.310326,13915.871710,-1924.535449,-80440.027290
300.312877,5181.441594,888.247130,-78601.398095
300.315284,-11103.089130,6661.853478,-75077.358804
300.317686,-3701.029710,2516.700203,-77375.645298
300.320087,4145.153275,1184.329507,-79214.274493
300.322489,-1924.535449,7550.100608,-75383.797003
300.324891,-1628.453072,7105.977043,-74617.701505
300.327293,148.041188,10658.965565,-74311.263306
300.329695,888.247130,5773.606348,-78754.617194
300.332097,1776.494261,5329.482782,-77988.521696
300.334499,-2368.659014,6365.771101,-74924.139704
300.336901,-1332.370696,6217.729913,-75843.454302
300.339303,592.164754,3997.112087,-78294.959896
300.341705,3701.029710,5033.400406,-75690.235202
300.344107,-2220.617826,9770.718434,-74617.701505
