#time,accel_x,accel_y,accel_z
156.131429,-16728.654289,7846.182985,-75230.577904
156.133925,6365.771101,5477.523971,-76456.330700
156.136422,296.082377,11547.212695,-74311.263306
156.138918,5181.441594,7402.059420,-77528.864398
156.141415,-9622.677246,5329.482782,-77375.645298
156.143911,-11695.253884,10658.965565,-75996.673402
156.146407,-19541.436869,10658.965565,-72472.634111
156.148904,23242.466579,1480.411884,-79980.369991
156.151400,27387.619854,4589.276840,-79214.274493
156.153897,-35529.885216,16136.489536,-70787.224015
156.156393,-13471.748144,6069.688724,-77222.426198
156.158889,26351.331535,3552.988522,-79367.493593
156.161386,-12139.377449,12583.501014,-75230.577904
156.163882,-1332.370696,7254.018232,-74158.044206
156.166378,28275.866984,4737.318029,-82125.437386
156.168875,-10658.965565,14063.912898,-74311.263306
156.171371,-22798.343014,7254.018232,-72166.195912
156.173868,46929.056723,4885.359217,-79061.055394
156.176364,39230.914926,2812.782580,-80899.684589
156.178860,-35974.008781,14063.912898,-70327.566716
156.181357,-5477.523971,11103.089130,-73391.948708
156.183853,26499.372724,1776.494261,-81359.341888
156.186350,-22502.260637,11103.089130,-75077.358804
156.188846,11103.089130,7846.182985,-75383.797003
156.191342,23686.590144,7254.018232,-77835.302597
156.193839,-444.123565,8586.388927,-77222.426198
156.196356,-6365.771101,9474.636058,-74770.920605
156.198873,-4145.153275,8142.265362,-75537.016103
156.201390,9030.512492,6957.935855,-77222.426198
156.203908,-1036.288319,7994.224174,-75996.673402
156.206425,-9030.512492,9326.594869,-74311.263306
156.208942,8734.430116,8586.388927,-76456.330700
156.211460,18653.189738,7105.977043,-78448.178995
156.213977,7698.141797,6513.812290,-76915.987999
156.216494,-9030.512492,10362.883188,-74464.482406
156.219012,7550.100608,6809.894666,-76915.987999
156.221529,10955.047942,6069.688724,-77988.521696
156.224046,-2664.741391,11547.212695,-74770.920605
156.226564,-10214.842000,6809.894666,-76609.549800
156.229081,11103.089130,6069.688724,-78601.398095
156.231598,2960.823768,7550.100608,-75996.673402
156.234115,8882.471304,11547.212695,-74924.139704
156.236633,-3108.864956,6809.894666,-75843.454302
156.239150,6217.729913,3404.947333,-77988.521696
156.241667,36862.255912,13471.748144,-78294.959896
156.244185,-35529.885216,10807.006753,-70634.004916
156.246702,4441.235652,7105.977043,-77682.083497
156.249219,22502.260637,3256.906145,-79214.274493
